Iter 741 | Total: 19.7994 | Shared: 4.0532 | rgb: 3.3500 | pose: 4.4319 | depth: 4.6169 | ir: 3.3474
Iter 751 | Total: 18.7750 | Shared: 3.8841 | rgb: 3.2078 | pose: 4.1979 | depth: 4.8209 | ir: 2.6645
Iter 761 | Total: 22.9921 | Shared: 5.0179 | rgb: 3.7997 | pose: 5.2264 | depth: 4.9725 | ir: 3.9755
Iter 771 | Total: 22.3331 | Shared: 4.7225 | rgb: 4.1395 | pose: 4.5298 | depth: 5.0554 | ir: 3.8860
Iter 781 | Total: 19.1004 | Shared: 4.1315 | rgb: 2.9678 | pose: 4.4859 | depth: 4.8189 | ir: 2.6963
Iter 791 | Total: 19.7330 | Shared: 5.2310 | rgb: 2.9171 | pose: 3.9002 | depth: 4.8114 | ir: 2.8734
Iter 801 | Total: 23.2947 | Shared: 5.0763 | rgb: 4.3755 | pose: 4.6138 | depth: 5.0034 | ir: 4.2258
Iter 811 | Total: 18.7032 | Shared: 3.8764 | rgb: 3.2638 | pose: 3.9474 | depth: 4.5440 | ir: 3.0716
Iter 821 | Total: 20.5977 | Shared: 4.5815 | rgb: 3.5579 | pose: 4.3594 | depth: 4.7770 | ir: 3.3218
Iter 831 | Total: 17.8374 | Shared: 4.1421 | rgb: 2.4249 | pose: 3.6125 | depth: 4.4694 | ir: 3.1885
Iter 841 | Total: 19.5109 | Shared: 4.1363 | rgb: 3.2763 | pose: 4.3002 | depth: 4.7231 | ir: 3.0749
Iter 851 | Total: 19.0670 | Shared: 4.0533 | rgb: 3.1321 | pose: 3.7561 | depth: 4.8738 | ir: 3.2517
Iter 861 | Total: 17.9461 | Shared: 3.5607 | rgb: 3.2006 | pose: 4.1995 | depth: 4.6283 | ir: 2.3570
Iter 871 | Total: 19.2289 | Shared: 4.0245 | rgb: 3.3359 | pose: 4.3321 | depth: 4.7179 | ir: 2.8185
Iter 881 | Total: 20.8270 | Shared: 4.9313 | rgb: 3.4270 | pose: 4.2205 | depth: 4.9144 | ir: 3.3338
Iter 891 | Total: 18.8100 | Shared: 3.5296 | rgb: 2.9840 | pose: 4.2173 | depth: 4.7076 | ir: 3.3715
Iter 901 | Total: 19.4215 | Shared: 4.4272 | rgb: 2.6424 | pose: 4.5496 | depth: 4.8810 | ir: 2.9213
Iter 911 | Total: 18.0764 | Shared: 3.1705 | rgb: 3.4824 | pose: 3.6820 | depth: 4.4528 | ir: 3.2886
Iter 921 | Total: 20.0860 | Shared: 3.5900 | rgb: 3.2358 | pose: 4.6419 | depth: 4.8467 | ir: 3.7716
Iter 931 | Total: 16.3788 | Shared: 2.9052 | rgb: 2.4185 | pose: 4.0409 | depth: 4.5699 | ir: 2.4444
Iter 941 | Total: 20.2201 | Shared: 3.8378 | rgb: 3.6700 | pose: 5.1524 | depth: 4.5089 | ir: 3.0510
Iter 951 | Total: 24.4373 | Shared: 5.6558 | rgb: 4.2588 | pose: 5.2156 | depth: 5.1344 | ir: 4.1727
Iter 961 | Total: 19.3356 | Shared: 3.6041 | rgb: 3.0163 | pose: 4.7236 | depth: 4.5131 | ir: 3.4785
Iter 971 | Total: 18.9254 | Shared: 3.5747 | rgb: 3.1273 | pose: 4.4610 | depth: 4.6694 | ir: 3.0929
Iter 981 | Total: 18.7222 | Shared: 3.4726 | rgb: 2.7216 | pose: 5.2600 | depth: 4.5540 | ir: 2.7141
Iter 991 | Total: 18.3882 | Shared: 3.6575 | rgb: 2.5368 | pose: 5.0008 | depth: 4.9548 | ir: 2.2383
Iter 1001 | Total: 23.3648 | Shared: 5.1856 | rgb: 4.2560 | pose: 4.8392 | depth: 5.1489 | ir: 3.9352
Iter 1011 | Total: 18.9696 | Shared: 4.0491 | rgb: 2.6403 | pose: 4.6918 | depth: 4.4767 | ir: 3.1118
Iter 1021 | Total: 20.6726 | Shared: 4.4613 | rgb: 3.6589 | pose: 4.1000 | depth: 4.8700 | ir: 3.5824
Iter 1031 | Total: 19.6449 | Shared: 4.1585 | rgb: 3.4527 | pose: 3.8090 | depth: 4.5327 | ir: 3.6919
Iter 1041 | Total: 19.8346 | Shared: 4.6079 | rgb: 3.2245 | pose: 4.1555 | depth: 4.7241 | ir: 3.1225
